Source,Destination,Duration,Skills
8th,Photo Editing ,3 months,
8th,Photoshop Master (2 months),2 months,
8th,10th (S.S.C.),2,
10th (S.S.C.),Engineering Diploma,3,
Engineering Diploma,Government Contractor (Civil/Electrical),,
Engineering Diploma,Degree Engineering (B.E.),4,
Engineering Diploma,Associate Membership of Institution of Engineers(A.M.I.E.),,
Engineering Diploma,Institution of Electronics & Telecommunication Engineers (I.E.T.E.),,
Institution of Electronics & Telecommunication Engineers (I.E.T.E.),MPSC (Exam),,
Institution of Electronics & Telecommunication Engineers (I.E.T.E.),UPSC (Exam),,
Engineering Diploma,R.T.O. Inspector Exam,,
Engineering Diploma,Merchant Navy,3,
10th (S.S.C.),LIC Agent,,
10th (S.S.C.),Army,,
10th (S.S.C.),Navy,,
10th (S.S.C.),Air Force (Defence),,
10th (S.S.C.),Police Department Exam,,
Police Department Exam,Police Constable Airmen,,
Police Department Exam,Navik,,
Police Department Exam,Soldier,,
10th (S.S.C.),Art Teacher Diploma,2,
10th (S.S.C.),Fine Art,3,
10th (S.S.C.),Commercial Art Diploma,1,
10th (S.S.C.),ITI,,
ITI,ITI Fitter,1,
ITI,ITI Welder,2,
ITI,ITI Machinist,1,
ITI,ITI Stenographer,1,
ITI,ITI Diesel Mechanic,1,
ITI,ITI Draughtsman (Mechanical) Engineering,2,
ITI,ITI Pump Operator,1,
ITI,ITI Dress Making,1,
ITI,ITI Manufacture Foot Wear,1,
ITI,ITI Foundry Man Engineering,1,
ITI,ITI Carpenter Engineering,1,
ITI,ITI Tool & Die Maker Engineering,3,
ITI,ITI etc,,
10th (S.S.C.),Railway Ticket Collector (T.C.),,
10th (S.S.C.),Commerce Clerk Exam,,
10th (S.S.C.),12th (H.S.C.),2,
10th (S.S.C.),Bank Insurance,3,
10th (S.S.C.),Clerical Exam,,
10th (S.S.C.),Other Government Clerical Grade Exam,,
Other Government Clerical Grade Exam,Governement Clerk,,
10th (S.S.C.),Diploma in Dance,3,
10th (S.S.C.),Diploma in Music,1,
10th (S.S.C.),Certified Building Supervisor,1,
10th (S.S.C.),Diploma in Farm Management (Animal Husbandary),2,
10th (S.S.C.),Medical Laboratory Technician Certificate Course (MLT),1,
10th (S.S.C.),Various Diploma Courses,,
Various Diploma Courses,Interior Designing Diploma,1,
Various Diploma Courses,Stenography,2,
Various Diploma Courses,Private Secretary Practice,1,
Various Diploma Courses,Beauty Culture & Hair Dressing,2,
Various Diploma Courses,Garment Technology,2 yr approx,
10th (S.S.C.),MS-CIT Course,2,
MS-CIT Course,Data Entry Operator,3 months,
10th (S.S.C.),Post Graduate Diploma in Computer Application (PGDCA),1,
10th (S.S.C.),Certificate in Desktop Publishing (DTP),6 months,
10th (S.S.C.),Graphics,1,
,,,
12th (H.S.C.),12th Commerce,2,
12th (H.S.C.),12th Science,2,
12th (H.S.C.),12th Arts,2,
12th (H.S.C.),D.Ed.,2,
12th Commerce,Chartered Accountant (CPT),,
12th Commerce,B.Com,3,
12th Commerce,B.B.A.,3,
B.B.A.,M.B.A.,2,
12th Commerce,C.S. Foundation,1,
12th Commerce,B.C.A. (12th Commerce + Maths),3,
12th Commerce,D.Ed.,2,
12th Commerce,Call Center,,
B.Com,M.B.A.,2,
M.B.A.,Marketing,2,
M.B.A.,Finance,2,
M.B.A.,HR,2,
M.B.A.,Logistics Management,2,
M.B.A.,Business Management,2,
M.B.A.,Operations Management,2,
M.B.A.,Rural Management,2,
M.B.A.,Health Care Management,2,
M.B.A.,Information Technology (IT),2,
M.B.A.,Business Analytics,2,
M.B.A.,Event Management,2,
M.B.A.,Manager,,
M.B.A.,Businessman,,
B.Com,Bank,,
B.Com,Insurance Probationary,,
B.Com,Development Officer Exam,,
B.Com,L.L.B.,5,
L.L.B.,L.L.M.,2,
B.Com,Chartered Accountant (CPT),,
B.Com,B.Ed.,2,
B.Ed.,M.Ed.,2,
M.Ed.,Teacher,,
B.Com,Bachelor in Library Science,1,
Bachelor in Library Science,Librarian,,
B.Com,C.S. Foundation,1,
