Source,Destination,Duration,Skills
8th,Photo Editing ,0.25,"Basics of Photoshop, Natural and Artificial Lighting"
8th,Photoshop Master (2 months),0.16,"Photoshop Interface, Photoshop CC"
8th,10th (S.S.C.),2,
10th (S.S.C.),Engineering Diploma,3,
Engineering Diploma,Government Contractor (Civil/Electrical),,"Critical thinking, Problem solving, Mathematical Skills"
Engineering Diploma,Degree Engineering (B.E.),4,"Strong in Mathematics, science, 
Highly analytical and detail-oriented"
Engineering Diploma,Associate Membership of Institution of Engineers(A.M.I.E.),,"12th with PCM 45% marks, Eng 45%, or Diploma Holder, or
Graduate Engineer"
Engineering Diploma,Institution of Electronics & Telecommunication Engineers (I.E.T.E.),,"12th with PCM, 3 year Diploma in Engineering / Technology"
Institution of Electronics & Telecommunication Engineers (I.E.T.E.),MPSC (Exam),,"Reading-Writing in Marathi,
Reading-Writing in English,
Newspaper knowledge"
Institution of Electronics & Telecommunication Engineers (I.E.T.E.),UPSC (Exam),,NCERT books 
Engineering Diploma,R.T.O. Inspector Exam,,"Indian Citizen, Age 18-37, Graduate"
Engineering Diploma,Merchant Navy,3,10+2 with compulsory PCM
10th (S.S.C.),LIC Agent,,
10th (S.S.C.),Army,,"Integrity, Ability to Perform Under Pressure, physical fitness, 
Endurance"
10th (S.S.C.),Navy,,"Physical fitness, Endurance, Age 18-21,"
10th (S.S.C.),Air Force (Defence),,"Group Y Musician Trade, 
Open Rally Bharti (Eng-50%, overall 50%)"
10th (S.S.C.),Police Department Exam,,"Security and background checks, Physical fitness, 
Medical fitness"
Police Department Exam,Police Constable Airmen,,
Police Department Exam,Navik,,"Age 18-22, Only Indian Male can apply, 50% marks in 10+2"
Police Department Exam,Soldier,,
10th (S.S.C.),Art Teacher Diploma,2,"Classroom Management, Art History Concepts, 
Film Editing Software, Curriculum Development"
10th (S.S.C.),Fine Art,3,"Knowledge of art materials, Golden Proportions Art, 
Rule of Perspective, Ability to draw from life, Constructive drawing"
10th (S.S.C.),Commercial Art Diploma,1,"Experience in graphic designs, 
basic knowledge of advertising principles"
10th (S.S.C.),ITI,,
ITI,ITI Fitter,1,"safely use hand and power tools, interpreting blueprints"
ITI,ITI Welder,2,"strong knowledge of welding, metal properties, manual tools,
procedures"
ITI,ITI Machinist,1,"Technical writing, Simulation, modeling, and analysis"
ITI,ITI Stenographer,1,"making shorthand notes, subsequent transcription"
ITI,ITI Diesel Mechanic,1,"Certified Diesel Mechanic, Well-versed in Auto Repair software, 
Garage Partner and AutoRepair Cloud, 
Diesel Diagnostic Software Eaton Transmission"
ITI,ITI Draughtsman (Mechanical) Engineering,2,"Develop 2D mechanical equipmen, 
design data into accurate 3D models"
ITI,ITI Pump Operator,1,"Repair pumps like centrifugal, 
measures essential parts like cylinder"
ITI,ITI Dress Making,1,"Hand Stitches, Seams with seam finishes, Darts, Pleats, 
Tucks, Sleeves, Frill, Collar"
ITI,ITI Manufacture Foot Wear,1,"knowledge of designing, pattern cutting, 
template making of different types of footwear"
ITI,ITI Foundry Man Engineering,1,"observing safety, fire safety equipments, 
operating different furnace, melting point temperature"
ITI,ITI Carpenter Engineering,1,"Basic principle of repairing work, 
repairing technique of furniture, door, window, rack etc"
ITI,ITI Tool & Die Maker Engineering,3,"create gauges, cutting tools, machine tools, molds, dies, 
fixtures, jigs, tools in manufacturing process"
ITI,Other ITI courses,,
10th (S.S.C.),Railway Ticket Collector (T.C.),,
10th (S.S.C.),Commerce Clerk Exam,,
10th (S.S.C.),12th (H.S.C.),2,
10th (S.S.C.),Bank Insurance,3,
10th (S.S.C.),Clerical Exam,,"Age 18-25, SSC Matric Exam"
10th (S.S.C.),Other Government Clerical Grade Exam,,SSC Matric Exam
Other Government Clerical Grade Exam,Governement Clerk,,SSC Matric Exam
10th (S.S.C.),Diploma in Dance,3,"physical fitness, stamina"
10th (S.S.C.),Diploma in Music,1,"Ear Training, Chords, Intervals, Tone, Rhythm"
10th (S.S.C.),Certified Building Supervisor,1,"managing project plans, reports, and any related paperwork,
Safety of the crew, watching the construction process"
10th (S.S.C.),Diploma in Farm Management (Animal Husbandary),2,"Age min 15, Core subjects Physics, Chemistry, Mathematics, 
English, 10th min 50% marks"
10th (S.S.C.),Medical Laboratory Technician Certificate Course (MLT),1,
10th (S.S.C.),Various Diploma Courses,,
Various Diploma Courses,Interior Designing Diploma,1,
Various Diploma Courses,Stenography,2,
Various Diploma Courses,Private Secretary Practice,1,
Various Diploma Courses,Beauty Culture & Hair Dressing,2,
Various Diploma Courses,Garment Technology,2,
10th (S.S.C.),MS-CIT Course,2,
MS-CIT Course,Data Entry Operator,0.25,"Computer and technical skills,
Accuracy, Attention to detail,
Proficient typing"
10th (S.S.C.),Post Graduate Diploma in Computer Application (PGDCA),1,
10th (S.S.C.),Certificate in Desktop Publishing (DTP),0.5,
10th (S.S.C.),Graphics,1,"Adobe Creative Suite, Ability to Learn Digital Design Software, 
Adobe Photoshop, Dreamweaver"
12th (H.S.C.),12th Commerce,,
12th (H.S.C.),12th Science,,
12th (H.S.C.),12th Arts,,
12th (H.S.C.),D.Ed.,2,
12th Commerce,Chartered Accountant (CPT),,"Expert in Excel, Tally, Standards in Accounting"
12th Commerce,B.Com,3,Numeracy skills
12th Commerce,B.B.A.,3,Ability to read the country’s economy
B.B.A.,M.B.A.,2,"Critical thinking, teamwork, Leadership, Time management"
12th Commerce,C.S. Foundation,1,
12th Commerce,B.C.A. (12th Commerce + Maths),3,
12th Commerce,D.Ed.,2,
12th Commerce,Call Center,,"Patience, Empathy, Listening Capacity, 
Clarity in Communicating"
B.Com,M.B.A.,2,"Critical thinking, teamwork, Leadership, Time management"
M.B.A.,Marketing,2,"Stress Management, Communication, Negotiation"
M.B.A.,Finance,2,"Financial Reporting, Technology"
M.B.A.,HR,2,"Decision Making, Communication"
M.B.A.,Logistics Management,2,"Supply Chain Management, Logistics,
Distribution and Material Movement"
M.B.A.,Business Management,2,
M.B.A.,Operations Management,2,
M.B.A.,Rural Management,2,
M.B.A.,Health Care Management,2,
M.B.A.,Information Technology (IT),2,"Data Analysis, Programming Languages, Technical Writing, 
Project Management"
M.B.A.,Business Analytics,2,"SQL, SPSS, SAS, Sage, Mathematica, Excel"
M.B.A.,Event Management,2,
M.B.A.,Manager,,"MBA, Advance Excel Sheets"
M.B.A.,Businessman,,"MBA, Market Demand, Practical knowledge, 
Economics 101"
B.Com,Bank,,"BBA, Economics/Finance, Accounting, RBI/ SBI/ IBPS Exam"
B.Com,Insurance Probationary,,
B.Com,Development Officer Exam,,
B.Com,L.L.B.,5,"Logical and Analytical Rationale, Extensive Legal Research, 
Public Speaking"
L.L.B.,L.L.M.,2,"Law degree JD/ LLB, Language proficiency"
B.Com,Chartered Accountant (CPT),,"Expert in Excel, Tally, Standards in Accounting"
B.Com,B.Ed.,2,
B.Ed.,M.Ed.,2,
M.Ed.,Teacher,,
B.Com,Bachelor in Library Science,1,
Bachelor in Library Science,Librarian,,
B.Com,C.S. Foundation,1,
B.Com,Import Export Diploma,2,
B.Com,M.C.A.,3,"Languages like C, C++, Java, .Net, DS, Database, 
Latest technology"
B.Com,M.C.M.,2,
M.C.A.,Software Job (IT),,"Languages like C, C++, Java, .Net, DS, Database, 
Latest technology, Networking"
M.C.M.,Software Job (IT),,"Languages like C, C++, Java, .Net, DS, Database, 
Latest technology, Networking"
